Input	ROMCombinationalOutput
0000 0000	001
0000 0001	010
0000 0010	110
0000 0011	010
0000 0100	011
0000 0101	111
0000 0110	100
0000 0111	000
0000 1000	100
0000 1001	X
0000 1010	111
0000 1011	X
0000 1100	101
0000 1101	X
0000 1110	011
0000 1111	X
0001 0000	010
0001 0001	010
0001 0010	010
0001 0011	010
0001 0100	010
0001 0101	010
0001 0110	010
0001 0111	010
0001 1000	010
0001 1001	010
0001 1010	010
0001 1011	010
0001 1100	010
0001 1101	010
0001 1110	010
0001 1111	010
0010 0000	X
0010 0001	X
0010 0010	X
0010 0011	X
0010 0100	X
0010 0101	X
0010 0110	X
0010 0111	X
0010 1000	X
0010 1001	X
0010 1010	X
0010 1011	X
0010 1100	X
0010 1101	X
0010 1110	X
0010 1111	X
0011 0000	X
0011 0001	X
0011 0010	X
0011 0011	X
0011 0100	X
0011 0101	X
0011 0110	X
0011 0111	X
0011 1000	X
0011 1001	X
0011 1010	X
0011 1011	X
0011 1100	X
0011 1101	X
0011 1110	X
0011 1111	X
0100 0000	X
0100 0001	X
0100 0010	X
0100 0011	X
0100 0100	X
0100 0101	X
0100 0110	X
0100 0111	X
0100 1000	X
0100 1001	X
0100 1010	X
0100 1011	X
0100 1100	X
0100 1101	X
0100 1110	X
0100 1111	X
0101 0000	X
0101 0001	X
0101 0010	X
0101 0011	X
0101 0100	X
0101 0101	X
0101 0110	X
0101 0111	X
0101 1000	X
0101 1001	X
0101 1010	X
0101 1011	X
0101 1100	X
0101 1101	X
0101 1110	X
0101 1111	X
0110 0000	111
0110 0001	111
0110 0010	111
0110 0011	111
0110 0100	111
0110 0101	111
0110 0110	111
0110 0111	111
0110 1000	111
0110 1001	111
0110 1010	111
0110 1011	111
0110 1100	111
0110 1101	111
0110 1110	111
0110 1111	111
0111 0000	X
0111 0001	X
0111 0010	X
0111 0011	X
0111 0100	X
0111 0101	X
0111 0110	X
0111 0111	X
0111 1000	X
0111 1001	X
0111 1010	X
0111 1011	X
0111 1100	X
0111 1101	X
0111 1110	X
0111 1111	X
1000 0000	X
1000 0001	X
1000 0010	X
1000 0011	X
1000 0100	X
1000 0101	X
1000 0110	X
1000 0111	X
1000 1000	X
1000 1001	X
1000 1010	X
1000 1011	X
1000 1100	X
1000 1101	X
1000 1110	X
1000 1111	X
1001 0000	X
1001 0001	X
1001 0010	X
1001 0011	X
1001 0100	X
1001 0101	X
1001 0110	X
1001 0111	X
1001 1000	X
1001 1001	X
1001 1010	X
1001 1011	X
1001 1100	X
1001 1101	X
1001 1110	X
1001 1111	X
1010 0000	110
1010 0001	110
1010 0010	110
1010 0011	110
1010 0100	110
1010 0101	110
1010 0110	110
1010 0111	110
1010 1000	110
1010 1001	110
1010 1010	110
1010 1011	110
1010 1100	110
1010 1101	110
1010 1110	110
1010 1111	110
1011 0000	X
1011 0001	X
1011 0010	X
1011 0011	X
1011 0100	X
1011 0101	X
1011 0110	X
1011 0111	X
1011 1000	X
1011 1001	X
1011 1010	X
1011 1011	X
1011 1100	X
1011 1101	X
1011 1110	X
1011 1111	X
1100 0000	X
1100 0001	X
1100 0010	X
1100 0011	X
1100 0100	X
1100 0101	X
1100 0110	X
1100 0111	X
1100 1000	X
1100 1001	X
1100 1010	X
1100 1011	X
1100 1100	X
1100 1101	X
1100 1110	X
1100 1111	X
1101 0000	X
1101 0001	X
1101 0010	X
1101 0011	X
1101 0100	X
1101 0101	X
1101 0110	X
1101 0111	X
1101 1000	X
1101 1001	X
1101 1010	X
1101 1011	X
1101 1100	X
1101 1101	X
1101 1110	X
1101 1111	X
1110 0000	011
1110 0001	011
1110 0010	011
1110 0011	011
1110 0100	011
1110 0101	011
1110 0110	011
1110 0111	011
1110 1000	011
1110 1001	011
1110 1010	011
1110 1011	011
1110 1100	011
1110 1101	011
1110 1110	011
1110 1111	011
1111 0000	X
1111 0001	X
1111 0010	X
1111 0011	X
1111 0100	X
1111 0101	X
1111 0110	X
1111 0111	X
1111 1000	X
1111 1001	X
1111 1010	X
1111 1011	X
1111 1100	X
1111 1101	X
1111 1110	X
1111 1111	X
