Date,Class Type,Topic Covered,Reading,Milestones
01/07/19,Lecture,Introduction,P&H  1.1-1.4,
01/09/19,Lecture,Technology,Watch: https://www.youtube.com/watch?v=3LVeEjsn8Ts,
01/10/19,Discussion,Chisel Intro,Read Chapters 1& 2: https://github.com/freechipsproject/chisel-bootcamp,
01/11/19,Lecture,More technology,"P&H 1.5, 1.7",
01/14/19,Lecture,Instruction sets + RISC-V intro,P&H Chapter 2,
01/16/19,Lecture,Example machine design,,
01/17/19,Discussion,More RISC-V,The RISC-V Reader Chapters 1-3,
01/18/19,Lecture,Single cycle RISC-V,P&H 4.1-4.4,
01/21/19,Lecture,MLK Holiday,,Lab 1 Due
01/23/19,Lecture,Performance,"Chapter 1.6, 1.8-1.11",
01/24/19,Discussion,Single cycle details and Lab 2,,
01/25/19,Lecture,Multi-cycle and pipeline intro,P&H 4.5,
01/28/19,Lecture,More Performance,"P&H 1.6, 1.9",
01/30/19,Lecture,Review,,
01/31/19,Discussion,Midterm,"Technology and Performance (Chapter 1), CPU design (Chapter 4.1-4.4)",
02/01/19,Lecture,Multicycle RISC-V,,
02/04/19,Lecture,Pipelining basics,P&H 4.5-4.6,Lab 2 Due
02/06/19,Lecture,Pipelining hazards,P&H 4.7-4.8,
02/07/19,Discussion,Pipeline design details,,
02/08/19,Lecture,More pipelining,P&H 4.9,
02/11/19,Lecture,Instruction-level parallelism,P&H 4.1,
02/13/19,Lecture,Speculation and out of order,P&H 4.10-4.12,
02/14/19,Discussion,More pipeline design details,,
02/15/19,Lecture,Core design review / slack,P&H Chapter 4,
02/18/19,Lecture,President’s Day Holiday,,
02/20/19,Lecture,Introduction to memory technologies,P&H 5.1-5.2,
02/21/19,Discussion,<Depends on Lab 4>,,
02/22/19,Lecture,Memory hierarchy,P&H 5.3,
02/25/19,Lecture,Multi-level cache hierarchies,P&H 5.8,Lab 3 Due
02/27/19,Lecture,Review,,
02/28/19,Discussion,Midterm,"Pipelining (4.5-4.15) Memory (Chapter 5.1-5.6, 5.8)",
03/01/19,Lecture,Virtual memory 1,P&H  5.6-5.7,
03/04/19,Lecture,Virtual memory 2,P&H  5.6-5.7,
03/06/19,Lecture,Implementing cache controllers,P&H 5.9,
03/07/19,Discussion,tbd,,
03/08/19,Lecture,Parallel architectures 1,P&H 6.1-6.3,
03/11/19,Lecture,Parallel architectures 2,P&H 6.4-6.7,
03/13/19,Lecture,Parallel architectures 3,P&H 5.10,
03/14/19,Discussion,tbd,,
03/15/19,Lecture,Review/slack,,Lab 4 Due
03/20/19,Final,,Cumulative,
